dcid,sentence
Exports_EconomicActivity_RefractoryBricksBlocksTilesAndSimilarRefractor6902,Exports of refractory bricks blocks tiles and similar refractor
Exports_EconomicActivity_RefractoryBricksBlocksTilesAndSimilarRefractor6902_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of refractory bricks blocks tiles and similar refractor
Exports_EconomicActivity_RefractoryCementsMortarsConcretesAndSimilar3816,Exports of refractory cements mortars concretes and similar
Exports_EconomicActivity_RefractoryCementsMortarsConcretesAndSimilar3816_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of refractory cements mortars concretes and similar
Exports_EconomicActivity_RefrigeratorsFreezersAndOtherRefrigeratingOr,Exports of refrigerators freezers and other refrigerating or
Exports_EconomicActivity_RefrigeratorsFreezersAndOtherRefrigeratingOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of refrigerators freezers and other refrigerating or
Exports_EconomicActivity_RegistersAccountBooksDiariesAndSimilarAlbumsFor,Exports of registers account books diaries and similar albums
Exports_EconomicActivity_RegistersAccountBooksDiariesAndSimilarAlbumsFor_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of registers account books diaries and similar albums
Exports_EconomicActivity_RegulatingOrControllingInstrumentsAndApparatus9032,Exports of regulating or controlling instruments and apparatus
Exports_EconomicActivity_RegulatingOrControllingInstrumentsAndApparatus9032_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of regulating or controlling instruments and apparatus
Exports_EconomicActivity_ReservoirsTanksVatsAndSimilarContainersForAny7309,Exports of reservoirs tanks vats and similar containers for
Exports_EconomicActivity_ReservoirsTanksVatsAndSimilarContainersForAny7309_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of reservoirs tanks vats and similar containers for
Exports_EconomicActivity_ResidualLyesFromTheManufactureOfWoodPulpWhetherOr,Exports of residual lyes from the manufacture of wood
Exports_EconomicActivity_ResidualLyesFromTheManufactureOfWoodPulpWhetherOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of residual lyes from the manufacture of wood
Exports_EconomicActivity_ResidualProductsOfTheChemicalOrAlliedIndustrie3825,Exports of residual products of the chemical or allied
Exports_EconomicActivity_ResidualProductsOfTheChemicalOrAlliedIndustrie3825_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of residual products of the chemical or allied
Exports_EconomicActivity_ResiduesOfStarchManufactureSimilarResiduesBeetPulp,Exports of residues of starch manufacture similar residues beet
Exports_EconomicActivity_ResiduesOfStarchManufactureSimilarResiduesBeetPulp_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of residues of starch manufacture similar residues beet
Exports_EconomicActivity_RetreadedOrUsedPneumaticTyresOfRubberSolidOr,Exports of retreaded or used pneumatic tyres of rubber
Exports_EconomicActivity_RetreadedOrUsedPneumaticTyresOfRubberSolidOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of retreaded or used pneumatic tyres of rubber
Exports_EconomicActivity_RevolutionCounterProductionCountersTaximeters,Exports of revolution counter production counters taximeters
Exports_EconomicActivity_RevolutionCounterProductionCountersTaximeters_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of revolution counter production counters taximeters
Exports_EconomicActivity_RevolversAndPistolsOtherThanThoseOfHeadingNo939302,Exports of revolvers and pistols other than those of
Exports_EconomicActivity_RevolversAndPistolsOtherThanThoseOfHeadingNo939302_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of revolvers and pistols other than those of
Exports_EconomicActivity_Rice,Exports of rice
Exports_EconomicActivity_Rice_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of rice
Exports_EconomicActivity_RoofingTilesChimneyPotsCowlsChimneyLiners,Exports of roofing tiles chimney pots cowls chimney liners
Exports_EconomicActivity_RoofingTilesChimneyPotsCowlsChimneyLiners_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of roofing tiles chimney pots cowls chimney liners
Exports_EconomicActivity_RosinAndResinAcidsAndDerivativesThereofRosinSpirit,Exports of rosin and resin acids and derivatives thereof
Exports_EconomicActivity_RosinAndResinAcidsAndDerivativesThereofRosinSpirit_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of rosin and resin acids and derivatives thereof
Exports_EconomicActivity_RubberAndArticlesThereof,Exports of rubber and articles thereof
Exports_EconomicActivity_RubberAndArticlesThereof_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of rubber and articles thereof
Exports_EconomicActivity_RubberThreadAndCordTextileCoveredTextileYarnAnd,Exports of rubber thread and cord textile covered textile
Exports_EconomicActivity_RubberThreadAndCordTextileCoveredTextileYarnAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of rubber thread and cord textile covered textile
Exports_EconomicActivity_Rye,Exports of rye
Exports_EconomicActivity_Rye_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of rye
Exports_EconomicActivity_SacksAndBagsOfAKindUsedForThePackingOfGoods,Exports of sacks and bags of akind used for
Exports_EconomicActivity_SacksAndBagsOfAKindUsedForThePackingOfGoods_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sacks and bags of akind used for
Exports_EconomicActivity_SaddleryAndHarnessForAnyAnimalIncludingTracesL4201,Exports of saddlery and harness for any animal including
Exports_EconomicActivity_SaddleryAndHarnessForAnyAnimalIncludingTracesL4201_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of saddlery and harness for any animal including
Exports_EconomicActivity_SafesArmouredOrReinforcedStrongBoxesDoorsAndSa8303,Exports of safes armoured or reinforced strong boxes doors
Exports_EconomicActivity_SafesArmouredOrReinforcedStrongBoxesDoorsAndSa8303_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of safes armoured or reinforced strong boxes doors
Exports_EconomicActivity_SafetyFusesDetonatingCordsPercussionOrDetonating,Exports of safety fuses detonating cords percussion or detonating
Exports_EconomicActivity_SafetyFusesDetonatingCordsPercussionOrDetonating_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of safety fuses detonating cords percussion or detonating
Exports_EconomicActivity_SafetyGlassConsistingOfToughenedTemperedOr,Exports of safety glass consisting of toughened tempered or
Exports_EconomicActivity_SafetyGlassConsistingOfToughenedTemperedOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of safety glass consisting of toughened tempered or
Exports_EconomicActivity_SaltIncludingTableSaltAndDenaturedSaltPureSodi2501,Exports of salt including table salt and denatured salt
Exports_EconomicActivity_SaltIncludingTableSaltAndDenaturedSaltPureSodi2501_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of salt including table salt and denatured salt
Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd,Exports of salt sulphur earths stone plastering materials lime
Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of salt sulphur earths stone plastering materials lime
Exports_EconomicActivity_SaltsOfInorganicAcidsOrPeroxoacidsNECIncluding,Exports of salts of inorganic acids or peroxoacids necincluding
Exports_EconomicActivity_SaltsOfInorganicAcidsOrPeroxoacidsNECIncluding_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of salts of inorganic acids or peroxoacids necincluding
Exports_EconomicActivity_SaltsOfOxometallicOrPeroxometallicAcids,Exports of salts of oxometallic or peroxometallic acids
Exports_EconomicActivity_SaltsOfOxometallicOrPeroxometallicAcids_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of salts of oxometallic or peroxometallic acids
Exports_EconomicActivity_SandsOfAllKindsNaturalWhetherOrNotColouredOther,Exports of sands of all kinds natural whether or
Exports_EconomicActivity_SandsOfAllKindsNaturalWhetherOrNotColouredOther_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sands of all kinds natural whether or
Exports_EconomicActivity_SanitaryTowelsPadsAndTamponsNapkinsDiapersNapk9619,Exports of sanitary towels pads and tampons napkins diapers
Exports_EconomicActivity_SanitaryTowelsPadsAndTamponsNapkinsDiapersNapk9619_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sanitary towels pads and tampons napkins diapers
Exports_EconomicActivity_SanitaryWareAndPartsThereofOfIronOrSteel,Exports of sanitary ware and parts thereof of iron
Exports_EconomicActivity_SanitaryWareAndPartsThereofOfIronOrSteel_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sanitary ware and parts thereof of iron
Exports_EconomicActivity_SanitaryWareBathsShowerBathsSinksWashBasinsBidets,Exports of sanitary ware baths shower baths sinks wash
Exports_EconomicActivity_SanitaryWareBathsShowerBathsSinksWashBasinsBidets_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sanitary ware baths shower baths sinks wash
Exports_EconomicActivity_SaucesAndPreparationsThereforMixedCondimentsAn2103,Exports of sauces and preparations therefor mixed condiments an
Exports_EconomicActivity_SaucesAndPreparationsThereforMixedCondimentsAn2103_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sauces and preparations therefor mixed condiments an
Exports_EconomicActivity_SausagesAndSimilarProductsOfMeatMeatOffalBlood1601,Exports of sausages and similar products of meat meat
Exports_EconomicActivity_SausagesAndSimilarProductsOfMeatMeatOffalBlood1601_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sausages and similar products of meat meat
Exports_EconomicActivity_ScentSpraysAndSimilarToiletSpraysAndMountsAndH9616,Exports of scent sprays and similar toilet sprays and
Exports_EconomicActivity_ScentSpraysAndSimilarToiletSpraysAndMountsAndH9616_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of scent sprays and similar toilet sprays and
Exports_EconomicActivity_ScissorsTailorsShearsAndSimilarShearsAndBlades,Exports of scissors tailors shears and similar shears and
Exports_EconomicActivity_ScissorsTailorsShearsAndSimilarShearsAndBlades_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of scissors tailors shears and similar shears and
Exports_EconomicActivity_ScrewsBoltsNutsCoachScrewsScrewHooksRivetsCotters,Exports of screws bolts nuts coach screws screw hooks
Exports_EconomicActivity_ScrewsBoltsNutsCoachScrewsScrewHooksRivetsCotters_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of screws bolts nuts coach screws screw hooks
Exports_EconomicActivity_SculpturesAndStatuaryOriginalInAnyMaterial,Exports of sculptures and statuary original in any material
Exports_EconomicActivity_SculpturesAndStatuaryOriginalInAnyMaterial_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sculptures and statuary original in any material
Exports_EconomicActivity_SeatsNotThoseOfHeadingNo9402WhetherOrNot,Exports of seats not those of heading no9402whether or
Exports_EconomicActivity_SeatsNotThoseOfHeadingNo9402WhetherOrNot_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of seats not those of heading no9402whether or
Exports_EconomicActivity_SeedsFruitAndSporesOfAKindUsedForSowing,Exports of seeds fruit and spores of akind used
Exports_EconomicActivity_SeedsFruitAndSporesOfAKindUsedForSowing_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of seeds fruit and spores of akind used
Exports_EconomicActivity_SeedsOfAniseBadianFennelCorianderCuminCarawayOr,Exports of seeds of anise badian fennel coriander cumin
Exports_EconomicActivity_SeedsOfAniseBadianFennelCorianderCuminCarawayOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of seeds of anise badian fennel coriander cumin
Exports_EconomicActivity_SelfAdhesivePlatesSheetsFilmFoilTapeStripAndOther,Exports of self adhesive plates sheets film foil tape
Exports_EconomicActivity_SelfAdhesivePlatesSheetsFilmFoilTapeStripAndOther_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of self adhesive plates sheets film foil tape
Exports_EconomicActivity_SemiconductorDevicesEGDiodesTransistors,Exports of semiconductor devices egdiodes transistors
Exports_EconomicActivity_SemiconductorDevicesEGDiodesTransistors_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of semiconductor devices egdiodes transistors
Exports_EconomicActivity_SewingAndKnittingNeedlesBodkinsCrochetHooks7319,Exports of sewing and knitting needles bodkins crochet hooks
Exports_EconomicActivity_SewingAndKnittingNeedlesBodkinsCrochetHooks7319_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sewing and knitting needles bodkins crochet hooks
Exports_EconomicActivity_SewingMachinesOtherThanBookSewingMachinesOfHeading,Exports of sewing machines other than book sewing machines
Exports_EconomicActivity_SewingMachinesOtherThanBookSewingMachinesOfHeading_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sewing machines other than book sewing machines
Exports_EconomicActivity_SewingThreadOfManMadeFilamentsWhetherOrNotPutUpFor,Exports of sewing thread of man made filaments whether
Exports_EconomicActivity_SewingThreadOfManMadeFilamentsWhetherOrNotPutUpFor_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sewing thread of man made filaments whether
Exports_EconomicActivity_SewingThreadOfManMadeStapleFibresWhetherOrNotPutUp,Exports of sewing thread of man made staple fibres
Exports_EconomicActivity_SewingThreadOfManMadeStapleFibresWhetherOrNotPutUp_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sewing thread of man made staple fibres
Exports_EconomicActivity_ShaversHairClippersAndHairRemovingAppliancesWith,Exports of shavers hair clippers and hair removing appliances
Exports_EconomicActivity_ShaversHairClippersAndHairRemovingAppliancesWith_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of shavers hair clippers and hair removing appliances
Exports_EconomicActivity_ShawlsScarvesMufflersMantillasVeilsAndTheLikeNot,Exports of shawls scarves mufflers mantillas veils and the
Exports_EconomicActivity_ShawlsScarvesMufflersMantillasVeilsAndTheLikeNot_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of shawls scarves mufflers mantillas veils and the
Exports_EconomicActivity_SheepAndGoatsLive,Exports of sheep and goats live
Exports_EconomicActivity_SheepAndGoatsLive_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sheep and goats live
Exports_EconomicActivity_SheetsForVeneeringIncludingThoseObtainedBySlicing,Exports of sheets for veneering including those obtained by
Exports_EconomicActivity_SheetsForVeneeringIncludingThoseObtainedBySlicing_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sheets for veneering including those obtained by
Exports_EconomicActivity_ShipsBoatsAndFloatingStructures,Exports of ships boats and floating structures
Exports_EconomicActivity_ShipsBoatsAndFloatingStructures_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of ships boats and floating structures
Exports_EconomicActivity_ShirtsMensOrBoysKnittedOrCrocheted,Exports of shirts mens or boys knitted or crocheted
Exports_EconomicActivity_ShirtsMensOrBoysKnittedOrCrocheted_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of shirts mens or boys knitted or crocheted
Exports_EconomicActivity_ShirtsMensOrBoysNotKnittedOrCrocheted,Exports of shirts mens or boys not knitted or
Exports_EconomicActivity_ShirtsMensOrBoysNotKnittedOrCrocheted_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of shirts mens or boys not knitted or
Exports_EconomicActivity_SignPlatesNamePlatesAddressPlatesAndSimilarPla8310,Exports of sign plates name plates address plates and
Exports_EconomicActivity_SignPlatesNamePlatesAddressPlatesAndSimilarPla8310_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sign plates name plates address plates and
Exports_EconomicActivity_SignallingApparatusElectricSoundOrVisualEGBells,Exports of signalling apparatus electric sound or visual egbells
Exports_EconomicActivity_SignallingApparatusElectricSoundOrVisualEGBells_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of signalling apparatus electric sound or visual egbells
Exports_EconomicActivity_SignallingGlasswareAndOpticalElementsOfGlassOther,Exports of signalling glassware and optical elements of glass
Exports_EconomicActivity_SignallingGlasswareAndOpticalElementsOfGlassOther_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of signalling glassware and optical elements of glass
Exports_EconomicActivity_SignallingSafetyOrTrafficControlEquipmentFor8530,Exports of signalling safety or traffic control equipment for
Exports_EconomicActivity_SignallingSafetyOrTrafficControlEquipmentFor8530_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of signalling safety or traffic control equipment for
Exports_EconomicActivity_SilicatesCommercialAlkaliMetalSilicates,Exports of silicates commercial alkali metal silicates
Exports_EconomicActivity_SilicatesCommercialAlkaliMetalSilicates_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of silicates commercial alkali metal silicates
Exports_EconomicActivity_SiliceousFossilMealsEGKieselguhrTripoliteAnd2512,Exports of siliceous fossil meals egkieselguhr tripolite and
Exports_EconomicActivity_SiliceousFossilMealsEGKieselguhrTripoliteAnd2512_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of siliceous fossil meals egkieselguhr tripolite and
Exports_EconomicActivity_SiliconesInPrimaryForms3910,Exports of silicones in primary forms
Exports_EconomicActivity_SiliconesInPrimaryForms3910_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of silicones in primary forms
Exports_EconomicActivity_Silk,Exports of silk
Exports_EconomicActivity_SilkWasteIncludingCocoonsUnsuitableForReelingY5003,Exports of silk waste including cocoons unsuitable for reeling
Exports_EconomicActivity_SilkWasteIncludingCocoonsUnsuitableForReelingY5003_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of silk waste including cocoons unsuitable for reeling
Exports_EconomicActivity_SilkWormCocoonsSuitableForReeling5001,Exports of silk worm cocoons suitable for reeling
Exports_EconomicActivity_SilkWormCocoonsSuitableForReeling5001_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of silk worm cocoons suitable for reeling
Exports_EconomicActivity_SilkYarnAndYarnSpunFromSilkWastePutUpForRetail5006,Exports of silk yarn and yarn spun from silk
Exports_EconomicActivity_SilkYarnAndYarnSpunFromSilkWastePutUpForRetail5006_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of silk yarn and yarn spun from silk
Exports_EconomicActivity_SilkYarnOtherThanYarnSpunFromSilkWasteNotPutUp5004,Exports of silk yarn other than yarn spun from
Exports_EconomicActivity_SilkYarnOtherThanYarnSpunFromSilkWasteNotPutUp5004_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of silk yarn other than yarn spun from
Exports_EconomicActivity_Silk_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of silk
Exports_EconomicActivity_SilverIncludingSilverPlatedWithGoldOrPlatinum,Exports of silver including silver plated with gold or
Exports_EconomicActivity_SilverIncludingSilverPlatedWithGoldOrPlatinum_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of silver including silver plated with gold or
Exports_EconomicActivity_SingletsAndOtherVestsSlipsPetticoatsBriefsPanties,Exports of singlets and other vests slips petticoats briefs
Exports_EconomicActivity_SingletsAndOtherVestsSlipsPetticoatsBriefsPanties_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of singlets and other vests slips petticoats briefs
Exports_EconomicActivity_SingletsAndOtherVestsUnderpantsBriefsNightShirts,Exports of singlets and other vests underpants briefs night
Exports_EconomicActivity_SingletsAndOtherVestsUnderpantsBriefsNightShirts_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of singlets and other vests underpants briefs night
Exports_EconomicActivity_SkinAndOtherPartsOfBirdsWithTheirFeatherOrDown,Exports of skin and other parts of birds with
Exports_EconomicActivity_SkinAndOtherPartsOfBirdsWithTheirFeatherOrDown_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of skin and other parts of birds with
Exports_EconomicActivity_SkinsAndOtherPartsOfBirdsWithFeathersDownFeathers,Exports of skins and other parts of birds with
Exports_EconomicActivity_SkinsAndOtherPartsOfBirdsWithFeathersDownFeathers_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of skins and other parts of birds with
Exports_EconomicActivity_SlagAndAshNECInChapter26IncludingSeaweedAshKelpAnd,Exports of slag and ash necin chapter26including seaweed ash
Exports_EconomicActivity_SlagAndAshNECInChapter26IncludingSeaweedAshKelpAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of slag and ash necin chapter26including seaweed ash
Exports_EconomicActivity_SlagAshAndResiduesNotFromTheManufactureOfIronO2620,Exports of slag ash and residues not from the
Exports_EconomicActivity_SlagAshAndResiduesNotFromTheManufactureOfIronO2620_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of slag ash and residues not from the
Exports_EconomicActivity_SlagDrossOtherThanGranulatedSlagScalingsAndOth2619,Exports of slag dross other than granulated slag scalings
Exports_EconomicActivity_SlagDrossOtherThanGranulatedSlagScalingsAndOth2619_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of slag dross other than granulated slag scalings
Exports_EconomicActivity_SlagRockWoolAndSimilarMineralWoolsExfoliated,Exports of slag rock wool and similar mineral wools
Exports_EconomicActivity_SlagRockWoolAndSimilarMineralWoolsExfoliated_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of slag rock wool and similar mineral wools
Exports_EconomicActivity_SlateWhetherOrNotRoughlyTrimmedOrMerelyCutBySa2514,Exports of slate whether or not roughly trimmed or
Exports_EconomicActivity_SlateWhetherOrNotRoughlyTrimmedOrMerelyCutBySa2514_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of slate whether or not roughly trimmed or
Exports_EconomicActivity_SlateWorkedAndArticlesOfSlateOrOfAgglomeratedS6803,Exports of slate worked and articles of slate or
Exports_EconomicActivity_SlateWorkedAndArticlesOfSlateOrOfAgglomeratedS6803_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of slate worked and articles of slate or
Exports_EconomicActivity_SlatesAndBoardsWithWritingOrDrawingSurfacesWhe9610,Exports of slates and boards with writing or drawing
Exports_EconomicActivity_SlatesAndBoardsWithWritingOrDrawingSurfacesWhe9610_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of slates and boards with writing or drawing
Exports_EconomicActivity_SlideFastenersAndPartsThereof,Exports of slide fasteners and parts thereof
Exports_EconomicActivity_SlideFastenersAndPartsThereof_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of slide fasteners and parts thereof
Exports_EconomicActivity_SlipsPetticoatsBriefsPantiesNightdressesPyjamas,Exports of slips petticoats briefs panties nightdresses pyjamas
Exports_EconomicActivity_SlipsPetticoatsBriefsPantiesNightdressesPyjamas_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of slips petticoats briefs panties nightdresses pyjamas
Exports_EconomicActivity_SmokingPipesIncludingPipeBowlsAndCigarOrCigare9614,Exports of smoking pipes including pipe bowls and cigar
Exports_EconomicActivity_SmokingPipesIncludingPipeBowlsAndCigarOrCigare9614_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of smoking pipes including pipe bowls and cigar
Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating,Exports of soap organic surface active agents washing lubricating
Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of soap organic surface active agents washing lubricating
Exports_EconomicActivity_SoapOrganicSurfaceActivePreparationsUsedAsSoapSkin,Exports of soap organic surface active preparations used as
Exports_EconomicActivity_SoapOrganicSurfaceActivePreparationsUsedAsSoapSkin_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of soap organic surface active preparations used as
Exports_EconomicActivity_SodiumHydroxideCausticSodaPotassiumHydroxide,Exports of sodium hydroxide caustic soda potassium hydroxide
Exports_EconomicActivity_SodiumHydroxideCausticSodaPotassiumHydroxide_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sodium hydroxide caustic soda potassium hydroxide
Exports_EconomicActivity_SoundOrVideoRecordingApparatusPartsAndAccessories,Exports of sound or video recording apparatus parts and
Exports_EconomicActivity_SoundOrVideoRecordingApparatusPartsAndAccessories_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sound or video recording apparatus parts and
Exports_EconomicActivity_SoundRecordingOrReproducingApparatus,Exports of sound recording or reproducing apparatus
Exports_EconomicActivity_SoundRecordingOrReproducingApparatus_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of sound recording or reproducing apparatus
Exports_EconomicActivity_SoupsAndBrothsAndPreparationsThereforHomogenised,Exports of soups and broths and preparations therefor homogenised
Exports_EconomicActivity_SoupsAndBrothsAndPreparationsThereforHomogenised_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of soups and broths and preparations therefor homogenised
Exports_EconomicActivity_SoyaBeanOilAndItsFractionsWhetherOrNotRefinedBut,Exports of soya bean oil and its fractions whether
Exports_EconomicActivity_SoyaBeanOilAndItsFractionsWhetherOrNotRefinedBut_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of soya bean oil and its fractions whether
Exports_EconomicActivity_SoyaBeansWhetherOrNotBroken,Exports of soya beans whether or not broken
Exports_EconomicActivity_SoyaBeansWhetherOrNotBroken_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of soya beans whether or not broken
Exports_EconomicActivity_SpecialPurposeMotorVehiclesNotThoseForTheTransport,Exports of special purpose motor vehicles not those for
Exports_EconomicActivity_SpecialPurposeMotorVehiclesNotThoseForTheTransport_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of special purpose motor vehicles not those for
Exports_EconomicActivity_SpecialTransactionsAndCommoditiesNotClassified,Exports of special transactions and commodities not classified
Exports_EconomicActivity_SpecialTransactionsAndCommoditiesNotClassified_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of special transactions and commodities not classified
Exports_EconomicActivity_SpectaclesGogglesAndTheLikeCorrectiveProtectiveOr,Exports of spectacles goggles and the like corrective protective
Exports_EconomicActivity_SpectaclesGogglesAndTheLikeCorrectiveProtectiveOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of spectacles goggles and the like corrective protective
Exports_EconomicActivity_SpringsAndLeavesForSpringsOfIronOrSteel,Exports of springs and leaves for springs of iron
Exports_EconomicActivity_SpringsAndLeavesForSpringsOfIronOrSteel_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of springs and leaves for springs of iron
Exports_EconomicActivity_StainlessSteelBarsAndRodsAnglesShapesAndSections,Exports of stainless steel bars and rods angles shapes
Exports_EconomicActivity_StainlessSteelBarsAndRodsAnglesShapesAndSections_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stainless steel bars and rods angles shapes
Exports_EconomicActivity_StainlessSteelBarsAndRodsHotRolledInIrregularly,Exports of stainless steel bars and rods hot rolled
Exports_EconomicActivity_StainlessSteelBarsAndRodsHotRolledInIrregularly_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stainless steel bars and rods hot rolled
Exports_EconomicActivity_StainlessSteelFlatRolledProductsOfWidthLessThan,Exports of stainless steel flat rolled products of width
Exports_EconomicActivity_StainlessSteelFlatRolledProductsOfWidthLessThan_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stainless steel flat rolled products of width
Exports_EconomicActivity_StainlessSteelFlatRolledProductsOfWidthOf600mmOr,Exports of stainless steel flat rolled products of width
Exports_EconomicActivity_StainlessSteelFlatRolledProductsOfWidthOf600mmOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stainless steel flat rolled products of width
Exports_EconomicActivity_StainlessSteelInIngotsOrOtherPrimaryFormsSemi,Exports of stainless steel in ingots or other primary
Exports_EconomicActivity_StainlessSteelInIngotsOrOtherPrimaryFormsSemi_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stainless steel in ingots or other primary
Exports_EconomicActivity_StainlessSteelWire,Exports of stainless steel wire
Exports_EconomicActivity_StainlessSteelWire_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stainless steel wire
Exports_EconomicActivity_StampsDateNumberingSealingStampsAndTheLike9611,Exports of stamps date numbering sealing stamps and the
Exports_EconomicActivity_StampsDateNumberingSealingStampsAndTheLike9611_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stamps date numbering sealing stamps and the
Exports_EconomicActivity_StampsPostageOrRevenueStampPostmarksFirstDayCo9704,Exports of stamps postage or revenue stamp postmarks first
Exports_EconomicActivity_StampsPostageOrRevenueStampPostmarksFirstDayCo9704_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of stamps postage or revenue stamp postmarks first
Exports_EconomicActivity_StarchesInulin,Exports of starches inulin
