dcid,sentence
Amount_EconomicActivity_Factory_GrossValueAdded_WearingApparel,Total gross value added of wearing apparel factory
Amount_EconomicActivity_Factory_GrossValueAdded_WoodAndCorkProducts,Total gross value added of wood and cork products factory
Amount_EconomicActivity_Factory_Input,Total input of factory
Amount_EconomicActivity_Factory_Input_BasicMetals,Total input amount of basic metals factory
Amount_EconomicActivity_Factory_Input_Beverages,Total input amount of beverages factory
Amount_EconomicActivity_Factory_Input_ChemicalProducts,Total input amount of chemical products factory
Amount_EconomicActivity_Factory_Input_CokeAndPetroleum,Total input amount of coke and petroleum factory
Amount_EconomicActivity_Factory_Input_CottonGinningAndSeeds,Total input amount of cotton ginning and seeds factory
Amount_EconomicActivity_Factory_Input_ElectricalEquipment,Total input amount of electrical equipment factory
Amount_EconomicActivity_Factory_Input_ElectronicsAndOpticals,Total input amount of electronics and opticals factory
Amount_EconomicActivity_Factory_Input_FabricatedMetalProducts,Total input amount of fabricated metal products factory
Amount_EconomicActivity_Factory_Input_FoodProducts,Total input amount of food products factory
Amount_EconomicActivity_Factory_Input_Furniture,Total input amount of furniture factory
Amount_EconomicActivity_Factory_Input_LeatherProducts,Total input amount of leather products factory
Amount_EconomicActivity_Factory_Input_MOSPIOtherIndustries,Total input amount of mospi_ other industries factory
Amount_EconomicActivity_Factory_Input_MOSPIOtherManufacturing,Total input amount of mospi_ other manufacturing factory
Amount_EconomicActivity_Factory_Input_MOSPIOtherTransportEquipment,Total input amount of mospi_ other transport equipment factory
Amount_EconomicActivity_Factory_Input_MachineryNEC,Total input amount of machinery NEC factory
Amount_EconomicActivity_Factory_Input_MachineryRepair,Total input amount of machinery repair factory
Amount_EconomicActivity_Factory_Input_MotorVehiclesAndTrailers,Total input amount of motor vehicles and trailers factory
Amount_EconomicActivity_Factory_Input_NonMetallicMinerals,Total input amount of non metallic minerals factory
Amount_EconomicActivity_Factory_Input_PaperAndPaperProducts,Total input amount of paper and paper products factory
Amount_EconomicActivity_Factory_Input_Pharmaceuticals,Total input amount of pharmaceuticals factory
Amount_EconomicActivity_Factory_Input_PrintingAndMedia,Total input amount of printing and media factory
Amount_EconomicActivity_Factory_Input_PublishingActivities,Total input amount of publishing activities factory
Amount_EconomicActivity_Factory_Input_RubberAndPlastics,Total input amount of rubber and plastics factory
Amount_EconomicActivity_Factory_Input_Rural,Total input for rural factory workers
Amount_EconomicActivity_Factory_Input_SaltProduction,Total input amount of salt production factory
Amount_EconomicActivity_Factory_Input_Textiles,Total input amount of textiles factory
