observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2001,wikidataId/Q1356,dcid:NDAP_PopulationDensity_Total,903,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1356,dcid:NDAP_PopulationDensity_Total,1028,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q40888,dcid:NDAP_PopulationDensity_Total,43,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q40888,dcid:NDAP_PopulationDensity_Total,46,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q43433,dcid:NDAP_PopulationDensity_Total,7900,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q43433,dcid:NDAP_PopulationDensity_Total,9258,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q46107,dcid:NDAP_PopulationDensity_Total,449,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q46107,dcid:NDAP_PopulationDensity_Total,700,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q66743,dcid:NDAP_PopulationDensity_Total,1425,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q66743,dcid:NDAP_PopulationDensity_Total,2191,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1353,dcid:NDAP_PopulationDensity_Total,9340,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1353,dcid:NDAP_PopulationDensity_Total,11320,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q26927,dcid:NDAP_PopulationDensity_Total,2022,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q26927,dcid:NDAP_PopulationDensity_Total,2149,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q66583,dcid:NDAP_PopulationDensity_Total,1989,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q66583,dcid:NDAP_PopulationDensity_Total,2547,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,country/IND,dcid:NDAP_PopulationDensity_Total,325,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,country/IND,dcid:NDAP_PopulationDensity_Total,382,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
