observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1165,dcid:NDAP_Census2011_ST_Population,1336573,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1165,dcid:NDAP_Census2011_Workers_Total,34724987,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1165,dcid:NDAP_Census2011_Children_0_6,19133964,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1505,dcid:NDAP_Census2011_Population_Total,610577,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1505,dcid:NDAP_Census2011_Population_Male,323070,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1505,dcid:NDAP_Census2011_Population_Female,287507,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1505,dcid:NDAP_Census2011_Literate_Total,444952,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1505,dcid:NDAP_Census2011_Literate_Male,251269,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1505,dcid:NDAP_Census2011_Literate_Female,193683,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1505,dcid:NDAP_Census2011_SC_Population,28275,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1505,dcid:NDAP_Census2011_ST_Population,206360,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1505,dcid:NDAP_Census2011_Workers_Total,308138,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1505,dcid:NDAP_Census2011_Children_0_6,64111,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1162,dcid:NDAP_Census2011_Population_Total,1383727,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1162,dcid:NDAP_Census2011_Population_Male,713912,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1162,dcid:NDAP_Census2011_Population_Female,669815,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1162,dcid:NDAP_Census2011_Literate_Total,766005,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1162,dcid:NDAP_Census2011_Literate_Male,439868,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1162,dcid:NDAP_Census2011_Literate_Female,326137,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1162,dcid:NDAP_Census2011_SC_Population,0,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1162,dcid:NDAP_Census2011_ST_Population,951821,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1162,dcid:NDAP_Census2011_Workers_Total,587657,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1162,dcid:NDAP_Census2011_Children_0_6,212188,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1199,dcid:NDAP_Census2011_Population_Total,1978502,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1199,dcid:NDAP_Census2011_Population_Male,1024649,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1199,dcid:NDAP_Census2011_Population_Female,953853,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1199,dcid:NDAP_Census2011_Literate_Total,1342434,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1199,dcid:NDAP_Census2011_Literate_Male,723957,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1199,dcid:NDAP_Census2011_Literate_Female,618477,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1199,dcid:NDAP_Census2011_SC_Population,0,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1199,dcid:NDAP_Census2011_ST_Population,1710973,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1199,dcid:NDAP_Census2011_Workers_Total,974122,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1199,dcid:NDAP_Census2011_Children_0_6,291071,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1193,dcid:NDAP_Census2011_Population_Total,2855794,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1193,dcid:NDAP_Census2011_Population_Male,1438586,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1193,dcid:NDAP_Census2011_Population_Female,1417208,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1193,dcid:NDAP_Census2011_Literate_Total,1908476,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1193,dcid:NDAP_Census2011_Literate_Male,1039858,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1193,dcid:NDAP_Census2011_Literate_Female,868618,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1193,dcid:NDAP_Census2011_SC_Population,97328,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1193,dcid:NDAP_Census2011_ST_Population,1167422,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1193,dcid:NDAP_Census2011_Workers_Total,1304610,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1193,dcid:NDAP_Census2011_Children_0_6,375357,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1197,dcid:NDAP_Census2011_Population_Total,1097206,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1197,dcid:NDAP_Census2011_Population_Male,555339,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1197,dcid:NDAP_Census2011_Population_Female,541867,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1197,dcid:NDAP_Census2011_Literate_Total,848175,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1197,dcid:NDAP_Census2011_Literate_Male,438529,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1197,dcid:NDAP_Census2011_Literate_Female,409646,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1197,dcid:NDAP_Census2011_SC_Population,1218,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1197,dcid:NDAP_Census2011_ST_Population,1036115,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1197,dcid:NDAP_Census2011_Workers_Total,486705,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1197,dcid:NDAP_Census2011_Children_0_6,168531,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1363,dcid:NDAP_Census2011_Population_Total,3673917,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1363,dcid:NDAP_Census2011_Population_Male,1874376,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1363,dcid:NDAP_Census2011_Population_Female,1799541,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1363,dcid:NDAP_Census2011_Literate_Total,2804783,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1363,dcid:NDAP_Census2011_Literate_Male,1501369,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1363,dcid:NDAP_Census2011_Literate_Female,1303414,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1363,dcid:NDAP_Census2011_SC_Population,654918,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1363,dcid:NDAP_Census2011_ST_Population,1166813,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1363,dcid:NDAP_Census2011_Workers_Total,1469521,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1363,dcid:NDAP_Census2011_Children_0_6,458014,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1195,dcid:NDAP_Census2011_Population_Total,2966889,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1195,dcid:NDAP_Census2011_Population_Male,1491832,Count,NDAP_Census2011_PCA,P1Y
